ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2025-10-20 00:00:00+00:00,33,1,536623,51.1,51.1,51.01,51.04,251,ZLZ5
2025-10-20 00:01:00+00:00,33,1,536623,51.05,51.06,51.04,51.06,21,ZLZ5
2025-10-20 00:02:00+00:00,33,1,536623,51.08,51.1,51.0,51.0,133,ZLZ5
2025-10-20 00:03:00+00:00,33,1,536623,51.0,51.04,51.0,51.04,42,ZLZ5
2025-10-20 00:04:00+00:00,33,1,536623,51.04,51.07,51.04,51.06,15,ZLZ5
2025-10-20 00:05:00+00:00,33,1,536623,51.06,51.1,51.06,51.09,18,ZLZ5
2025-10-20 00:06:00+00:00,33,1,536623,51.09,51.09,51.04,51.04,19,ZLZ5
2025-10-20 00:07:00+00:00,33,1,536623,51.05,51.08,51.05,51.07,6,ZLZ5
2025-10-20 00:08:00+00:00,33,1,536623,51.07,51.07,51.06,51.06,4,ZLZ5
2025-10-20 00:09:00+00:00,33,1,536623,51.05,51.06,51.05,51.06,6,ZLZ5
2025-10-20 00:10:00+00:00,33,1,536623,51.07,51.07,51.04,51.04,6,ZLZ5
2025-10-20 00:11:00+00:00,33,1,536623,51.05,51.05,51.04,51.05,8,ZLZ5
2025-10-20 00:12:00+00:00,33,1,536623,51.03,51.03,51.03,51.03,3,ZLZ5
2025-10-20 00:13:00+00:00,33,1,536623,51.03,51.04,51.03,51.03,3,ZLZ5
2025-10-20 00:14:00+00:00,33,1,536623,51.02,51.03,51.02,51.03,5,ZLZ5
2025-10-20 00:15:00+00:00,33,1,536623,51.03,51.03,51.03,51.03,1,ZLZ5
2025-10-20 00:16:00+00:00,33,1,536623,51.04,51.05,51.04,51.04,5,ZLZ5
2025-10-20 00:17:00+00:00,33,1,536623,51.03,51.03,51.03,51.03,1,ZLZ5
2025-10-20 00:18:00+00:00,33,1,536623,51.03,51.03,51.03,51.03,1,ZLZ5
2025-10-20 00:21:00+00:00,33,1,536623,51.03,51.03,50.98,50.99,29,ZLZ5
2025-10-20 00:22:00+00:00,33,1,536623,50.98,50.99,50.97,50.99,9,ZLZ5
2025-10-20 00:23:00+00:00,33,1,536623,50.98,51.0,50.98,51.0,18,ZLZ5
2025-10-20 00:24:00+00:00,33,1,536623,51.0,51.02,50.99,51.02,6,ZLZ5
2025-10-20 00:25:00+00:00,33,1,536623,51.03,51.03,51.01,51.02,4,ZLZ5
