ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2025-10-20 08:00:00+00:00,33,2,19335,30.67,30.68,30.67,30.67,9516,ETHA
2025-10-20 08:01:00+00:00,33,2,19335,30.66,30.66,30.63,30.64,13488,ETHA
2025-10-20 08:02:00+00:00,33,2,19335,30.65,30.65,30.62,30.62,30223,ETHA
2025-10-20 08:03:00+00:00,33,2,19335,30.62,30.63,30.62,30.63,9574,ETHA
2025-10-20 08:04:00+00:00,33,2,19335,30.62,30.62,30.61,30.61,4301,ETHA
2025-10-20 08:05:00+00:00,33,2,19335,30.61,30.63,30.61,30.62,9668,ETHA
2025-10-20 08:06:00+00:00,33,2,19335,30.62,30.63,30.61,30.61,2635,ETHA
2025-10-20 08:07:00+00:00,33,2,19335,30.6,30.61,30.6,30.6,3809,ETHA
2025-10-20 08:08:00+00:00,33,2,19335,30.6,30.61,30.6,30.61,14618,ETHA
2025-10-20 08:09:00+00:00,33,2,19335,30.6,30.61,30.58,30.58,8876,ETHA
2025-10-20 08:10:00+00:00,33,2,19335,30.59,30.6,30.59,30.59,1460,ETHA
2025-10-20 08:11:00+00:00,33,2,19335,30.59,30.6,30.59,30.59,1720,ETHA
2025-10-20 08:12:00+00:00,33,2,19335,30.59,30.59,30.59,30.59,280,ETHA
2025-10-20 08:13:00+00:00,33,2,19335,30.58,30.58,30.55,30.57,787,ETHA
2025-10-20 08:14:00+00:00,33,2,19335,30.58,30.61,30.58,30.61,4249,ETHA
2025-10-20 08:15:00+00:00,33,2,19335,30.6,30.6,30.59,30.59,3196,ETHA
2025-10-20 08:16:00+00:00,33,2,19335,30.59,30.6,30.59,30.6,4681,ETHA
2025-10-20 08:17:00+00:00,33,2,19335,30.6,30.6,30.6,30.6,310,ETHA
2025-10-20 08:18:00+00:00,33,2,19335,30.62,30.62,30.62,30.62,600,ETHA
2025-10-20 08:19:00+00:00,33,2,19335,30.62,30.62,30.58,30.58,3486,ETHA
2025-10-20 08:20:00+00:00,33,2,19335,30.58,30.58,30.55,30.55,389,ETHA
2025-10-20 08:21:00+00:00,33,2,19335,30.55,30.55,30.55,30.55,304,ETHA
2025-10-20 08:22:00+00:00,33,2,19335,30.53,30.53,30.52,30.52,2404,ETHA
2025-10-20 08:23:00+00:00,33,2,19335,30.52,30.52,30.51,30.51,6653,ETHA
2025-10-20 08:24:00+00:00,33,2,19335,30.51,30.51,30.51,30.51,380,ETHA
2025-10-20 08:25:00+00:00,33,2,19335,30.53,30.55,30.53,30.55,1425,ETHA
2025-10-20 08:26:00+00:00,33,2,19335,30.53,30.54,30.53,30.54,470,ETHA
2025-10-20 08:27:00+00:00,33,2,19335,30.53,30.54,30.53,30.54,785,ETHA
