ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2025-10-20 08:00:00+00:00,33,2,8147,62.9,63.15,62.75,63.13,10014,IBIT
2025-10-20 08:01:00+00:00,33,2,8147,63.12,63.13,63.08,63.09,11855,IBIT
2025-10-20 08:02:00+00:00,33,2,8147,63.1,63.12,63.09,63.1,7815,IBIT
2025-10-20 08:03:00+00:00,33,2,8147,63.1,63.11,63.07,63.07,3181,IBIT
2025-10-20 08:04:00+00:00,33,2,8147,63.07,63.08,63.04,63.08,2601,IBIT
2025-10-20 08:05:00+00:00,33,2,8147,63.08,63.13,63.08,63.12,1736,IBIT
2025-10-20 08:06:00+00:00,33,2,8147,63.12,63.12,63.09,63.09,858,IBIT
2025-10-20 08:07:00+00:00,33,2,8147,63.08,63.1,63.08,63.08,1147,IBIT
2025-10-20 08:08:00+00:00,33,2,8147,63.08,63.1,63.07,63.09,152,IBIT
2025-10-20 08:09:00+00:00,33,2,8147,63.09,63.09,63.07,63.08,890,IBIT
2025-10-20 08:10:00+00:00,33,2,8147,63.08,63.09,63.08,63.09,716,IBIT
2025-10-20 08:11:00+00:00,33,2,8147,63.08,63.11,63.08,63.11,544,IBIT
2025-10-20 08:12:00+00:00,33,2,8147,63.11,63.11,63.07,63.07,1730,IBIT
2025-10-20 08:13:00+00:00,33,2,8147,63.08,63.09,63.07,63.09,979,IBIT
2025-10-20 08:14:00+00:00,33,2,8147,63.09,63.11,63.09,63.11,938,IBIT
2025-10-20 08:15:00+00:00,33,2,8147,63.11,63.14,63.11,63.14,1014,IBIT
2025-10-20 08:16:00+00:00,33,2,8147,63.13,63.14,63.11,63.12,1332,IBIT
2025-10-20 08:17:00+00:00,33,2,8147,63.13,63.13,63.11,63.12,2525,IBIT
2025-10-20 08:18:00+00:00,33,2,8147,63.12,63.15,63.12,63.15,3254,IBIT
2025-10-20 08:19:00+00:00,33,2,8147,63.14,63.14,63.09,63.1,1068,IBIT
2025-10-20 08:20:00+00:00,33,2,8147,63.1,63.1,63.06,63.07,1036,IBIT
2025-10-20 08:21:00+00:00,33,2,8147,63.06,63.06,63.03,63.03,4490,IBIT
2025-10-20 08:22:00+00:00,33,2,8147,63.03,63.03,63.0,63.01,2039,IBIT
2025-10-20 08:23:00+00:00,33,2,8147,63.01,63.02,63.0,63.01,3454,IBIT
2025-10-20 08:24:00+00:00,33,2,8147,63.02,63.05,63.02,63.02,1940,IBIT
2025-10-20 08:25:00+00:00,33,2,8147,63.03,63.08,63.03,63.08,846,IBIT
2025-10-20 08:26:00+00:00,33,2,8147,63.08,63.08,63.07,63.08,844,IBIT
2025-10-20 08:27:00+00:00,33,2,8147,63.08,63.1,63.08,63.1,568,IBIT
2025-10-20 08:28:00+00:00,33,2,8147,63.08,63.1,63.08,63.1,798,IBIT
2025-10-20 08:29:00+00:00,33,2,8147,63.11,63.17,63.11,63.17,726,IBIT
2025-10-20 08:30:00+00:00,33,2,8147,63.17,63.19,63.16,63.19,481,IBIT
2025-10-20 08:31:00+00:00,33,2,8147,63.2,63.2,63.18,63.19,482,IBIT
2025-10-20 08:32:00+00:00,33,2,8147,63.2,63.21,63.2,63.2,3011,IBIT
2025-10-20 08:33:00+00:00,33,2,8147,63.19,63.19,63.19,63.19,1061,IBIT
2025-10-20 08:34:00+00:00,33,2,8147,63.2,63.3,63.2,63.28,6747,IBIT
2025-10-20 08:35:00+00:00,33,2,8147,63.29,63.38,63.29,63.3,6162,IBIT
2025-10-20 08:36:00+00:00,33,2,8147,63.3,63.3,63.26,63.26,2047,IBIT
2025-10-20 08:37:00+00:00,33,2,8147,63.26,63.28,63.24,63.24,2652,IBIT
2025-10-20 08:38:00+00:00,33,2,8147,63.23,63.23,63.19,63.2,1359,IBIT
2025-10-20 08:39:00+00:00,33,2,8147,63.21,63.21,63.16,63.18,1589,IBIT
2025-10-20 08:40:00+00:00,33,2,8147,63.17,63.17,63.12,63.16,929,IBIT
2025-10-20 08:41:00+00:00,33,2,8147,63.15,63.15,63.1,63.1,361,IBIT
2025-10-20 08:42:00+00:00,33,2,8147,63.12,63.15,63.11,63.11,11704,IBIT
2025-10-20 08:43:00+00:00,33,2,8147,63.11,63.16,63.11,63.15,1799,IBIT
2025-10-20 08:44:00+00:00,33,2,8147,63.16,63.18,63.16,63.18,259,IBIT
2025-10-20 08:45:00+00:00,33,2,8147,63.19,63.23,63.19,63.22,3501,IBIT
2025-10-20 08:46:00+00:00,33,2,8147,63.21,63.21,63.15,63.15,1479,IBIT
2025-10-20 08:47:00+00:00,33,2,8147,63.15,63.15,63.11,63.14,2745,IBIT
2025-10-20 08:48:00+00:00,33,2,8147,63.15,63.15,63.14,63.14,1481,IBIT
2025-10-20 08:49:00+00:00,33,2,8147,63.13,63.13,63.09,63.09,8678,IBIT
2025-10-20 08:50:00+00:00,33,2,8147,63.08,63.08,63.06,63.06,4814,IBIT
2025-10-20 08:51:00+00:00,33,2,8147,63.05,63.11,63.04,63.09,1252,IBIT
2025-10-20 08:52:00+00:00,33,2,8147,63.09,63.09,63.08,63.08,360,IBIT
2025-10-20 08:53:00+00:00,33,2,8147,63.08,63.08,63.07,63.07,753,IBIT
2025-10-20 08:54:00+00:00,33,2,8147,63.07,63.07,63.06,63.06,742,IBIT
2025-10-20 08:55:00+00:00,33,2,8147,63.07,63.07,63.07,63.07,624,IBIT
2025-10-20 08:56:00+00:00,33,2,8147,63.06,63.06,63.06,63.06,1,IBIT
2025-10-20 08:57:00+00:00,33,2,8147,63.07,63.1,63.07,63.09,164,IBIT
2025-10-20 08:58:00+00:00,33,2,8147,63.08,63.08,63.08,63.08,902,IBIT
2025-10-20 08:59:00+00:00,33,2,8147,63.08,63.08,63.08,63.08,979,IBIT
2025-10-20 09:00:00+00:00,33,2,8147,63.08,63.09,63.08,63.09,124,IBIT
2025-10-20 09:01:00+00:00,33,2,8147,63.08,63.08,63.06,63.06,791,IBIT
2025-10-20 09:02:00+00:00,33,2,8147,63.06,63.07,63.05,63.06,4352,IBIT
2025-10-20 09:03:00+00:00,33,2,8147,63.06,63.09,63.06,63.09,3004,IBIT
2025-10-20 09:04:00+00:00,33,2,8147,63.07,63.07,63.02,63.03,2834,IBIT
2025-10-20 09:05:00+00:00,33,2,8147,63.02,63.03,62.99,63.01,3275,IBIT
2025-10-20 09:06:00+00:00,33,2,8147,63.01,63.02,63.0,63.02,1292,IBIT
2025-10-20 09:07:00+00:00,33,2,8147,63.01,63.03,63.01,63.03,937,IBIT
2025-10-20 09:08:00+00:00,33,2,8147,63.03,63.03,63.02,63.02,251,IBIT
2025-10-20 09:09:00+00:00,33,2,8147,63.03,63.09,63.03,63.09,394,IBIT
2025-10-20 09:10:00+00:00,33,2,8147,63.08,63.11,63.08,63.1,711,IBIT
2025-10-20 09:11:00+00:00,33,2,8147,63.1,63.12,63.1,63.11,524,IBIT
2025-10-20 09:12:00+00:00,33,2,8147,63.1,63.1,63.08,63.09,2197,IBIT
2025-10-20 09:13:00+00:00,33,2,8147,63.09,63.09,63.08,63.08,351,IBIT
2025-10-20 09:14:00+00:00,33,2,8147,63.08,63.09,63.08,63.09,78,IBIT
2025-10-20 09:15:00+00:00,33,2,8147,63.09,63.09,63.03,63.03,366,IBIT
2025-10-20 09:16:00+00:00,33,2,8147,63.03,63.03,62.94,62.95,7820,IBIT
2025-10-20 09:17:00+00:00,33,2,8147,62.95,62.96,62.9,62.96,4963,IBIT
2025-10-20 09:18:00+00:00,33,2,8147,62.97,62.97,62.87,62.88,2094,IBIT
2025-10-20 09:19:00+00:00,33,2,8147,62.89,62.91,62.88,62.91,1526,IBIT
2025-10-20 09:20:00+00:00,33,2,8147,62.92,62.95,62.92,62.95,730,IBIT
2025-10-20 09:21:00+00:00,33,2,8147,62.95,62.95,62.91,62.91,1196,IBIT
2025-10-20 09:22:00+00:00,33,2,8147,62.91,62.92,62.9,62.92,3540,IBIT
