ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2025-11-03 09:00:00+00:00,33,2,8147,61.05,61.12,61.05,61.12,2018,IBIT
2025-11-03 09:01:00+00:00,33,2,8147,61.11,61.15,61.08,61.09,2603,IBIT
2025-11-03 09:02:00+00:00,33,2,8147,61.11,61.15,61.1,61.15,297,IBIT
2025-11-03 09:03:00+00:00,33,2,8147,61.15,61.16,61.13,61.15,203,IBIT
2025-11-03 09:04:00+00:00,33,2,8147,61.15,61.15,61.13,61.15,3324,IBIT
2025-11-03 09:05:00+00:00,33,2,8147,61.15,61.2,61.15,61.19,2262,IBIT
2025-11-03 09:06:00+00:00,33,2,8147,61.19,61.24,61.18,61.24,918,IBIT
2025-11-03 09:07:00+00:00,33,2,8147,61.24,61.25,61.23,61.25,252,IBIT
2025-11-03 09:08:00+00:00,33,2,8147,61.26,61.26,61.21,61.23,1010,IBIT
2025-11-03 09:09:00+00:00,33,2,8147,61.21,61.24,61.19,61.19,310,IBIT
2025-11-03 09:10:00+00:00,33,2,8147,61.19,61.19,61.16,61.19,526,IBIT
2025-11-03 09:11:00+00:00,33,2,8147,61.21,61.21,61.2,61.21,1002,IBIT
2025-11-03 09:12:00+00:00,33,2,8147,61.22,61.24,61.21,61.21,240,IBIT
2025-11-03 09:13:00+00:00,33,2,8147,61.22,61.22,61.17,61.19,1010,IBIT
2025-11-03 09:14:00+00:00,33,2,8147,61.17,61.18,61.14,61.18,1856,IBIT
2025-11-03 09:15:00+00:00,33,2,8147,61.18,61.18,61.16,61.17,373,IBIT
2025-11-03 09:16:00+00:00,33,2,8147,61.15,61.16,61.15,61.16,5,IBIT
2025-11-03 09:17:00+00:00,33,2,8147,61.15,61.18,61.15,61.16,805,IBIT
2025-11-03 09:18:00+00:00,33,2,8147,61.15,61.16,61.15,61.16,88,IBIT
2025-11-03 09:19:00+00:00,33,2,8147,61.13,61.13,61.09,61.11,414,IBIT
2025-11-03 09:20:00+00:00,33,2,8147,61.1,61.1,61.04,61.05,82,IBIT
2025-11-03 09:21:00+00:00,33,2,8147,61.06,61.07,61.02,61.02,23,IBIT
2025-11-03 09:22:00+00:00,33,2,8147,61.0,61.02,60.99,61.01,553,IBIT
2025-11-03 09:23:00+00:00,33,2,8147,61.02,61.02,60.99,60.99,202,IBIT
2025-11-03 09:24:00+00:00,33,2,8147,61.01,61.01,61.0,61.0,3,IBIT
2025-11-03 09:25:00+00:00,33,2,8147,60.98,60.98,60.93,60.93,11,IBIT
2025-11-03 09:26:00+00:00,33,2,8147,60.94,60.97,60.94,60.97,14,IBIT
2025-11-03 09:27:00+00:00,33,2,8147,60.97,60.99,60.97,60.99,3,IBIT
2025-11-03 09:28:00+00:00,33,2,8147,60.99,61.01,60.98,60.98,604,IBIT
2025-11-03 09:29:00+00:00,33,2,8147,60.96,60.98,60.96,60.98,1897,IBIT
2025-11-03 09:30:00+00:00,33,2,8147,60.99,61.01,60.99,60.99,10,IBIT
2025-11-03 09:31:00+00:00,33,2,8147,60.98,61.01,60.98,61.01,22,IBIT
2025-11-03 09:32:00+00:00,33,2,8147,60.99,60.99,60.97,60.97,5,IBIT
2025-11-03 09:33:00+00:00,33,2,8147,60.96,60.96,60.92,60.92,1003,IBIT
2025-11-03 09:34:00+00:00,33,2,8147,60.94,60.94,60.93,60.93,151,IBIT
2025-11-03 09:35:00+00:00,33,2,8147,60.93,60.93,60.91,60.91,1216,IBIT
2025-11-03 09:36:00+00:00,33,2,8147,60.93,60.97,60.93,60.96,11,IBIT
2025-11-03 09:37:00+00:00,33,2,8147,60.98,60.98,60.94,60.96,290,IBIT
2025-11-03 09:38:00+00:00,33,2,8147,60.93,60.93,60.9,60.9,455,IBIT
2025-11-03 09:39:00+00:00,33,2,8147,60.9,60.9,60.89,60.89,47,IBIT
2025-11-03 09:40:00+00:00,33,2,8147,60.88,60.9,60.87,60.9,540,IBIT
2025-11-03 09:41:00+00:00,33,2,8147,60.91,60.92,60.91,60.92,478,IBIT
2025-11-03 09:42:00+00:00,33,2,8147,60.89,60.9,60.89,60.9,221,IBIT
2025-11-03 09:43:00+00:00,33,2,8147,60.91,60.92,60.9,60.92,306,IBIT
2025-11-03 09:44:00+00:00,33,2,8147,60.93,60.95,60.93,60.94,732,IBIT
2025-11-03 09:45:00+00:00,33,2,8147,60.94,60.94,60.92,60.92,9,IBIT
2025-11-03 09:46:00+00:00,33,2,8147,60.91,60.95,60.91,60.95,673,IBIT
2025-11-03 09:47:00+00:00,33,2,8147,60.92,60.92,60.91,60.91,2,IBIT
2025-11-03 09:48:00+00:00,33,2,8147,60.89,60.89,60.88,60.89,32,IBIT
2025-11-03 09:49:00+00:00,33,2,8147,60.91,60.91,60.89,60.91,4,IBIT
2025-11-03 09:50:00+00:00,33,2,8147,60.92,60.92,60.9,60.9,3801,IBIT
2025-11-03 09:51:00+00:00,33,2,8147,60.87,60.87,60.8,60.84,5114,IBIT
2025-11-03 09:52:00+00:00,33,2,8147,60.83,60.83,60.8,60.83,806,IBIT
2025-11-03 09:53:00+00:00,33,2,8147,60.84,60.84,60.81,60.81,639,IBIT
2025-11-03 09:54:00+00:00,33,2,8147,60.83,60.84,60.83,60.84,22,IBIT
2025-11-03 09:55:00+00:00,33,2,8147,60.83,60.83,60.82,60.82,2,IBIT
2025-11-03 09:56:00+00:00,33,2,8147,60.82,60.85,60.82,60.83,452,IBIT
2025-11-03 09:57:00+00:00,33,2,8147,60.84,60.85,60.82,60.82,174,IBIT
2025-11-03 09:58:00+00:00,33,2,8147,60.84,60.86,60.84,60.86,3,IBIT
2025-11-03 09:59:00+00:00,33,2,8147,60.87,60.88,60.87,60.88,76,IBIT
2025-11-03 10:00:00+00:00,33,2,8147,60.87,60.9,60.87,60.87,47,IBIT
2025-11-03 10:01:00+00:00,33,2,8147,60.88,60.9,60.88,60.88,275,IBIT
2025-11-03 10:02:00+00:00,33,2,8147,60.9,60.94,60.9,60.94,26,IBIT
2025-11-03 10:03:00+00:00,33,2,8147,60.95,61.01,60.95,61.0,2198,IBIT
2025-11-03 10:04:00+00:00,33,2,8147,60.99,61.0,60.92,60.93,1719,IBIT
2025-11-03 10:05:00+00:00,33,2,8147,60.94,60.98,60.94,60.98,1069,IBIT
2025-11-03 10:06:00+00:00,33,2,8147,60.97,60.98,60.95,60.96,4074,IBIT
2025-11-03 10:07:00+00:00,33,2,8147,60.98,61.01,60.98,60.99,2149,IBIT
2025-11-03 10:08:00+00:00,33,2,8147,60.97,60.99,60.97,60.98,173,IBIT
2025-11-03 10:09:00+00:00,33,2,8147,61.02,61.03,61.02,61.03,31,IBIT
2025-11-03 10:10:00+00:00,33,2,8147,61.04,61.04,61.02,61.02,313,IBIT
2025-11-03 10:11:00+00:00,33,2,8147,61.02,61.05,61.02,61.05,1827,IBIT
2025-11-03 10:12:00+00:00,33,2,8147,61.04,61.06,61.02,61.02,3214,IBIT
2025-11-03 10:13:00+00:00,33,2,8147,61.01,61.01,61.0,61.0,3498,IBIT
2025-11-03 10:14:00+00:00,33,2,8147,61.0,61.02,61.0,61.02,975,IBIT
2025-11-03 10:15:00+00:00,33,2,8147,61.03,61.05,61.03,61.05,302,IBIT
2025-11-03 10:17:00+00:00,33,2,8147,61.02,61.05,61.02,61.03,754,IBIT
2025-11-03 10:18:00+00:00,33,2,8147,61.03,61.03,61.01,61.01,386,IBIT
2025-11-03 10:19:00+00:00,33,2,8147,61.03,61.03,61.03,61.03,1,IBIT
2025-11-03 10:20:00+00:00,33,2,8147,61.03,61.05,61.02,61.03,973,IBIT
2025-11-03 10:21:00+00:00,33,2,8147,61.01,61.01,61.01,61.01,311,IBIT
2025-11-03 10:22:00+00:00,33,2,8147,61.04,61.04,61.03,61.03,330,IBIT
2025-11-03 10:23:00+00:00,33,2,8147,61.04,61.04,61.04,61.04,1,IBIT
2025-11-03 10:24:00+00:00,33,2,8147,61.04,61.05,61.04,61.05,3,IBIT
2025-11-03 10:25:00+00:00,33,2,8147,61.07,61.08,61.07,61.07,1188,IBIT
