ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2025-11-17 09:01:00+00:00,33,2,16373,159.52,159.52,159.52,159.52,2,TXN
2025-11-17 09:11:00+00:00,33,2,16373,159.57,159.57,159.57,159.57,21,TXN
2025-11-17 09:29:00+00:00,33,2,16373,159.69,159.69,159.59,159.59,76,TXN
2025-11-17 09:37:00+00:00,33,2,16373,159.56,159.56,159.52,159.52,24,TXN
2025-11-17 09:42:00+00:00,33,2,16373,159.8,159.8,159.8,159.8,8,TXN
2025-11-17 10:12:00+00:00,33,2,16373,159.7,159.7,159.67,159.67,113,TXN
2025-11-17 10:15:00+00:00,33,2,16373,159.59,159.59,159.52,159.52,97,TXN
2025-11-17 10:16:00+00:00,33,2,16373,159.62,159.62,159.58,159.58,5,TXN
2025-11-17 10:28:00+00:00,33,2,16373,159.56,159.56,159.56,159.56,1,TXN
2025-11-17 10:30:00+00:00,33,2,16373,159.39,159.39,159.39,159.39,3,TXN
2025-11-17 10:31:00+00:00,33,2,16373,159.35,159.35,159.34,159.34,40,TXN
2025-11-17 10:53:00+00:00,33,2,16373,159.32,159.33,159.32,159.33,2,TXN
2025-11-17 10:54:00+00:00,33,2,16373,159.33,159.34,159.2,159.2,232,TXN
2025-11-17 11:19:00+00:00,33,2,16373,159.21,159.21,159.21,159.21,1,TXN
2025-11-17 11:51:00+00:00,33,2,16373,159.69,159.69,159.69,159.69,15,TXN
2025-11-17 11:56:00+00:00,33,2,16373,159.69,159.69,159.69,159.69,26,TXN
2025-11-17 12:00:00+00:00,33,2,16373,159.62,159.62,159.6,159.6,16,TXN
2025-11-17 12:21:00+00:00,33,2,16373,159.36,159.36,159.36,159.36,10,TXN
2025-11-17 12:25:00+00:00,33,2,16373,159.36,159.36,159.36,159.36,1,TXN
2025-11-17 12:40:00+00:00,33,2,16373,159.35,159.35,159.35,159.35,10,TXN
2025-11-17 12:44:00+00:00,33,2,16373,159.5,159.5,159.5,159.5,10,TXN
2025-11-17 12:45:00+00:00,33,2,16373,159.26,159.26,159.26,159.26,20,TXN
2025-11-17 12:53:00+00:00,33,2,16373,159.26,159.26,159.26,159.26,10,TXN
2025-11-17 13:10:00+00:00,33,2,16373,159.26,159.26,159.26,159.26,3,TXN
2025-11-17 13:24:00+00:00,33,2,16373,159.0,159.0,159.0,159.0,25,TXN
2025-11-17 13:25:00+00:00,33,2,16373,158.98,158.98,158.98,158.98,10,TXN
2025-11-17 13:39:00+00:00,33,2,16373,159.08,159.11,159.08,159.11,15,TXN
2025-11-17 14:12:00+00:00,33,2,16373,159.09,159.09,159.09,159.09,10,TXN
2025-11-17 14:14:00+00:00,33,2,16373,159.07,159.07,159.07,159.07,10,TXN
2025-11-17 14:18:00+00:00,33,2,16373,159.01,159.01,159.01,159.01,1,TXN
2025-11-17 14:25:00+00:00,33,2,16373,158.7,158.81,158.68,158.81,14,TXN
2025-11-17 14:27:00+00:00,33,2,16373,158.56,158.56,158.55,158.55,106,TXN
2025-11-17 14:30:00+00:00,33,2,16373,158.61,158.67,158.18,158.41,56331,TXN
2025-11-17 14:31:00+00:00,33,2,16373,158.4,159.14,158.4,159.14,1416,TXN
2025-11-17 14:32:00+00:00,33,2,16373,159.16,159.65,159.11,159.13,3556,TXN
2025-11-17 14:33:00+00:00,33,2,16373,159.15,159.52,159.15,159.5,2435,TXN
2025-11-17 14:34:00+00:00,33,2,16373,159.235,159.46,159.23,159.23,2864,TXN
2025-11-17 14:35:00+00:00,33,2,16373,159.295,159.295,158.935,158.95,1935,TXN
2025-11-17 14:36:00+00:00,33,2,16373,158.94,159.38,158.93,159.32,3299,TXN
2025-11-17 14:37:00+00:00,33,2,16373,159.35,159.64,159.29,159.56,2021,TXN
2025-11-17 14:38:00+00:00,33,2,16373,159.48,159.52,159.32,159.32,1108,TXN
2025-11-17 14:39:00+00:00,33,2,16373,159.29,159.37,159.24,159.26,1536,TXN
2025-11-17 14:40:00+00:00,33,2,16373,159.32,159.43,159.22,159.29,3414,TXN
2025-11-17 14:41:00+00:00,33,2,16373,159.27,159.42,159.22,159.22,906,TXN
2025-11-17 14:42:00+00:00,33,2,16373,159.295,159.3,159.02,159.04,5334,TXN
2025-11-17 14:43:00+00:00,33,2,16373,159.02,159.25,159.01,159.24,492,TXN
2025-11-17 14:44:00+00:00,33,2,16373,159.19,159.21,159.04,159.16,2540,TXN
2025-11-17 14:45:00+00:00,33,2,16373,159.13,159.24,158.92,159.1,6917,TXN
2025-11-17 14:46:00+00:00,33,2,16373,159.12,159.28,159.12,159.26,793,TXN
2025-11-17 14:47:00+00:00,33,2,16373,159.22,159.23,159.03,159.05,2154,TXN
2025-11-17 14:48:00+00:00,33,2,16373,159.06,159.16,158.97,159.06,2008,TXN
2025-11-17 14:49:00+00:00,33,2,16373,159.05,159.05,158.93,158.97,1641,TXN
2025-11-17 14:50:00+00:00,33,2,16373,159.02,159.1,158.98,158.98,1183,TXN
2025-11-17 14:51:00+00:00,33,2,16373,158.89,159.03,158.87,158.99,1188,TXN
2025-11-17 14:52:00+00:00,33,2,16373,159.01,159.01,158.93,158.96,1148,TXN
2025-11-17 14:53:00+00:00,33,2,16373,158.91,159.11,158.89,159.085,1491,TXN
2025-11-17 14:54:00+00:00,33,2,16373,159.1,159.3,159.1,159.19,1922,TXN
2025-11-17 14:55:00+00:00,33,2,16373,159.22,159.33,159.13,159.17,3570,TXN
2025-11-17 14:56:00+00:00,33,2,16373,159.12,159.2,159.08,159.11,1366,TXN
2025-11-17 14:57:00+00:00,33,2,16373,159.14,159.15,158.84,158.91,1776,TXN
2025-11-17 14:58:00+00:00,33,2,16373,158.875,158.875,158.8,158.84,2012,TXN
2025-11-17 14:59:00+00:00,33,2,16373,158.82,158.82,158.59,158.59,1407,TXN
2025-11-17 15:00:00+00:00,33,2,16373,158.63,158.83,158.63,158.75,1634,TXN
2025-11-17 15:01:00+00:00,33,2,16373,158.75,158.93,158.73,158.93,1842,TXN
2025-11-17 15:02:00+00:00,33,2,16373,158.935,158.97,158.87,158.91,1671,TXN
2025-11-17 15:03:00+00:00,33,2,16373,158.92,158.92,158.71,158.755,1948,TXN
2025-11-17 15:04:00+00:00,33,2,16373,158.72,158.87,158.7,158.75,3342,TXN
2025-11-17 15:05:00+00:00,33,2,16373,158.755,158.87,158.69,158.84,2212,TXN
2025-11-17 15:06:00+00:00,33,2,16373,158.84,158.93,158.8,158.91,633,TXN
2025-11-17 15:07:00+00:00,33,2,16373,158.86,158.89,158.79,158.82,999,TXN
2025-11-17 15:08:00+00:00,33,2,16373,158.78,158.81,158.64,158.64,1508,TXN
2025-11-17 15:09:00+00:00,33,2,16373,158.59,158.61,158.5,158.61,606,TXN
2025-11-17 15:10:00+00:00,33,2,16373,158.65,158.95,158.65,158.92,1532,TXN
2025-11-17 15:11:00+00:00,33,2,16373,158.94,159.13,158.92,159.04,472,TXN
2025-11-17 15:12:00+00:00,33,2,16373,159.02,159.1,158.98,159.06,584,TXN
2025-11-17 15:13:00+00:00,33,2,16373,159.09,159.23,159.09,159.17,1399,TXN
2025-11-17 15:14:00+00:00,33,2,16373,159.24,159.31,159.16,159.205,1324,TXN
2025-11-17 15:15:00+00:00,33,2,16373,159.13,159.21,159.01,159.21,2830,TXN
2025-11-17 15:16:00+00:00,33,2,16373,159.19,159.33,159.13,159.31,3481,TXN
2025-11-17 15:17:00+00:00,33,2,16373,159.33,159.33,159.075,159.075,1538,TXN
2025-11-17 15:18:00+00:00,33,2,16373,159.08,159.18,158.97,158.99,2983,TXN
2025-11-17 15:19:00+00:00,33,2,16373,158.99,158.99,158.73,158.75,1621,TXN
2025-11-17 15:20:00+00:00,33,2,16373,158.75,158.76,158.69,158.72,1774,TXN
2025-11-17 15:21:00+00:00,33,2,16373,158.68,158.68,158.55,158.56,2798,TXN
2025-11-17 15:22:00+00:00,33,2,16373,158.52,158.73,158.5,158.705,2475,TXN
2025-11-17 15:23:00+00:00,33,2,16373,158.76,158.76,158.63,158.7,1564,TXN
2025-11-17 15:24:00+00:00,33,2,16373,158.76,158.77,158.59,158.59,2330,TXN
2025-11-17 15:25:00+00:00,33,2,16373,158.63,158.63,158.52,158.53,742,TXN
2025-11-17 15:26:00+00:00,33,2,16373,158.54,158.64,158.535,158.55,2244,TXN
2025-11-17 15:27:00+00:00,33,2,16373,158.51,158.56,158.44,158.44,947,TXN
2025-11-17 15:28:00+00:00,33,2,16373,158.42,158.56,158.42,158.55,1233,TXN
2025-11-17 15:29:00+00:00,33,2,16373,158.555,158.56,158.49,158.52,1940,TXN
2025-11-17 15:30:00+00:00,33,2,16373,158.58,158.58,158.36,158.36,2854,TXN
2025-11-17 15:31:00+00:00,33,2,16373,158.36,158.38,158.2,158.2,3517,TXN
2025-11-17 15:32:00+00:00,33,2,16373,158.19,158.2,158.0,158.0,5674,TXN
2025-11-17 15:33:00+00:00,33,2,16373,157.99,157.995,157.9,157.92,1423,TXN
2025-11-17 15:34:00+00:00,33,2,16373,157.9,158.22,157.88,158.21,3475,TXN
2025-11-17 15:35:00+00:00,33,2,16373,158.15,158.21,158.14,158.15,400,TXN
2025-11-17 15:36:00+00:00,33,2,16373,158.12,158.23,158.07,158.23,1508,TXN
2025-11-17 15:37:00+00:00,33,2,16373,158.13,158.37,158.13,158.37,1404,TXN
2025-11-17 15:38:00+00:00,33,2,16373,158.25,158.28,158.24,158.24,349,TXN
2025-11-17 15:39:00+00:00,33,2,16373,158.265,158.32,158.22,158.22,461,TXN
2025-11-17 15:40:00+00:00,33,2,16373,158.21,158.21,157.97,158.08,3273,TXN
2025-11-17 15:41:00+00:00,33,2,16373,158.02,158.055,157.97,157.97,1742,TXN
2025-11-17 15:42:00+00:00,33,2,16373,157.97,158.01,157.9,157.97,1310,TXN
2025-11-17 15:43:00+00:00,33,2,16373,157.96,158.06,157.91,158.01,1317,TXN
2025-11-17 15:44:00+00:00,33,2,16373,158.01,158.2,157.97,158.2,1963,TXN
2025-11-17 15:45:00+00:00,33,2,16373,158.22,158.22,158.05,158.07,3656,TXN
2025-11-17 15:46:00+00:00,33,2,16373,158.085,158.17,158.07,158.08,898,TXN
2025-11-17 15:47:00+00:00,33,2,16373,158.05,158.05,158.0,158.01,2209,TXN
2025-11-17 15:48:00+00:00,33,2,16373,158.03,158.13,158.03,158.08,1002,TXN
2025-11-17 15:49:00+00:00,33,2,16373,158.07,158.07,157.88,157.9,3828,TXN
2025-11-17 15:50:00+00:00,33,2,16373,157.88,157.95,157.76,157.76,1581,TXN
2025-11-17 15:51:00+00:00,33,2,16373,157.75,157.84,157.75,157.795,796,TXN
2025-11-17 15:52:00+00:00,33,2,16373,157.795,157.89,157.77,157.87,2204,TXN
2025-11-17 15:53:00+00:00,33,2,16373,157.9,157.97,157.86,157.86,1791,TXN
2025-11-17 15:54:00+00:00,33,2,16373,157.8,157.85,157.72,157.72,1086,TXN
2025-11-17 15:55:00+00:00,33,2,16373,157.73,157.8,157.64,157.69,4282,TXN
2025-11-17 15:56:00+00:00,33,2,16373,157.64,157.64,157.49,157.51,2661,TXN
2025-11-17 15:57:00+00:00,33,2,16373,157.51,157.51,157.38,157.44,1473,TXN
2025-11-17 15:58:00+00:00,33,2,16373,157.47,157.55,157.45,157.45,954,TXN
2025-11-17 15:59:00+00:00,33,2,16373,157.41,157.46,157.37,157.46,1198,TXN
2025-11-17 16:00:00+00:00,33,2,16373,157.47,157.52,157.38,157.38,3134,TXN
2025-11-17 16:01:00+00:00,33,2,16373,157.395,157.42,157.355,157.36,856,TXN
2025-11-17 16:02:00+00:00,33,2,16373,157.38,157.52,157.35,157.44,1455,TXN
2025-11-17 16:03:00+00:00,33,2,16373,157.47,157.71,157.41,157.63,7357,TXN
2025-11-17 16:04:00+00:00,33,2,16373,157.65,157.66,157.45,157.61,6040,TXN
2025-11-17 16:05:00+00:00,33,2,16373,157.62,157.72,157.6,157.6,2308,TXN
2025-11-17 16:06:00+00:00,33,2,16373,157.58,157.58,157.32,157.39,1946,TXN
2025-11-17 16:07:00+00:00,33,2,16373,157.39,157.44,157.28,157.29,1108,TXN
2025-11-17 16:08:00+00:00,33,2,16373,157.31,157.37,157.24,157.24,1363,TXN
2025-11-17 16:09:00+00:00,33,2,16373,157.26,157.31,157.2,157.28,1638,TXN
2025-11-17 16:10:00+00:00,33,2,16373,157.28,157.32,157.18,157.185,1713,TXN
2025-11-17 16:11:00+00:00,33,2,16373,157.2,157.215,157.09,157.13,1338,TXN
2025-11-17 16:12:00+00:00,33,2,16373,157.15,157.17,157.02,157.04,1596,TXN
2025-11-17 16:13:00+00:00,33,2,16373,157.08,157.1,156.97,157.03,2005,TXN
