ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2025-11-24 00:00:00+00:00,33,1,42029208,49.8,49.83,49.78,49.805,20,SILZ5
2025-11-24 00:01:00+00:00,33,1,42029208,49.81,49.81,49.8,49.8,3,SILZ5
2025-11-24 00:02:00+00:00,33,1,42029208,49.77,49.79,49.765,49.78,8,SILZ5
2025-11-24 00:03:00+00:00,33,1,42029208,49.78,49.785,49.775,49.78,5,SILZ5
2025-11-24 00:04:00+00:00,33,1,42029208,49.765,49.785,49.75,49.75,18,SILZ5
2025-11-24 00:05:00+00:00,33,1,42029208,49.735,49.74,49.72,49.74,35,SILZ5
2025-11-24 00:06:00+00:00,33,1,42029208,49.74,49.74,49.72,49.72,26,SILZ5
2025-11-24 00:07:00+00:00,33,1,42029208,49.72,49.72,49.685,49.695,40,SILZ5
2025-11-24 00:08:00+00:00,33,1,42029208,49.7,49.7,49.675,49.68,38,SILZ5
2025-11-24 00:09:00+00:00,33,1,42029208,49.68,49.71,49.675,49.71,41,SILZ5
2025-11-24 00:10:00+00:00,33,1,42029208,49.7,49.735,49.7,49.725,38,SILZ5
2025-11-24 00:11:00+00:00,33,1,42029208,49.72,49.72,49.69,49.71,41,SILZ5
2025-11-24 00:12:00+00:00,33,1,42029208,49.695,49.7,49.685,49.695,25,SILZ5
2025-11-24 00:13:00+00:00,33,1,42029208,49.695,49.725,49.675,49.72,27,SILZ5
2025-11-24 00:14:00+00:00,33,1,42029208,49.725,49.745,49.7,49.71,43,SILZ5
2025-11-24 00:15:00+00:00,33,1,42029208,49.72,49.75,49.72,49.745,15,SILZ5
2025-11-24 00:16:00+00:00,33,1,42029208,49.715,49.72,49.66,49.665,40,SILZ5
2025-11-24 00:17:00+00:00,33,1,42029208,49.675,49.685,49.675,49.685,5,SILZ5
2025-11-24 00:18:00+00:00,33,1,42029208,49.665,49.665,49.665,49.665,1,SILZ5
2025-11-24 00:19:00+00:00,33,1,42029208,49.685,49.7,49.685,49.7,2,SILZ5
2025-11-24 00:20:00+00:00,33,1,42029208,49.72,49.725,49.705,49.715,11,SILZ5
2025-11-24 00:21:00+00:00,33,1,42029208,49.72,49.72,49.715,49.715,2,SILZ5
2025-11-24 00:22:00+00:00,33,1,42029208,49.72,49.73,49.72,49.72,3,SILZ5
2025-11-24 00:23:00+00:00,33,1,42029208,49.72,49.73,49.72,49.73,4,SILZ5
2025-11-24 00:24:00+00:00,33,1,42029208,49.73,49.74,49.73,49.73,9,SILZ5
2025-11-24 00:25:00+00:00,33,1,42029208,49.725,49.73,49.72,49.72,5,SILZ5
2025-11-24 00:26:00+00:00,33,1,42029208,49.735,49.735,49.735,49.735,1,SILZ5
2025-11-24 00:27:00+00:00,33,1,42029208,49.74,49.75,49.74,49.75,9,SILZ5
2025-11-24 00:28:00+00:00,33,1,42029208,49.74,49.755,49.74,49.745,7,SILZ5
2025-11-24 00:29:00+00:00,33,1,42029208,49.745,49.75,49.735,49.735,3,SILZ5
2025-11-24 00:30:00+00:00,33,1,42029208,49.725,49.73,49.725,49.73,4,SILZ5
2025-11-24 00:31:00+00:00,33,1,42029208,49.71,49.725,49.71,49.725,6,SILZ5
2025-11-24 00:32:00+00:00,33,1,42029208,49.73,49.76,49.73,49.74,28,SILZ5
2025-11-24 00:33:00+00:00,33,1,42029208,49.74,49.745,49.74,49.745,5,SILZ5
2025-11-24 00:34:00+00:00,33,1,42029208,49.745,49.755,49.74,49.755,8,SILZ5
2025-11-24 00:35:00+00:00,33,1,42029208,49.75,49.75,49.745,49.75,8,SILZ5
2025-11-24 00:36:00+00:00,33,1,42029208,49.74,49.74,49.725,49.725,18,SILZ5
2025-11-24 00:37:00+00:00,33,1,42029208,49.725,49.73,49.695,49.725,43,SILZ5
2025-11-24 00:38:00+00:00,33,1,42029208,49.73,49.75,49.73,49.75,7,SILZ5
2025-11-24 00:39:00+00:00,33,1,42029208,49.765,49.795,49.76,49.78,36,SILZ5
