ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2025-11-24 09:15:00+00:00,33,2,245,233.19,233.7,233.19,233.7,10,ADI
2025-11-24 09:18:00+00:00,33,2,245,233.95,233.95,233.95,233.95,2,ADI
2025-11-24 09:21:00+00:00,33,2,245,233.95,233.95,233.95,233.95,2,ADI
2025-11-24 09:30:00+00:00,33,2,245,231.63,231.63,231.5,231.5,5,ADI
2025-11-24 10:11:00+00:00,33,2,245,232.97,232.97,232.97,232.97,1,ADI
2025-11-24 11:08:00+00:00,33,2,245,232.35,232.35,232.33,232.33,22,ADI
2025-11-24 12:00:00+00:00,33,2,245,232.32,232.32,232.32,232.32,36,ADI
2025-11-24 12:05:00+00:00,33,2,245,232.4,232.4,232.32,232.32,5,ADI
2025-11-24 12:06:00+00:00,33,2,245,232.33,232.33,232.32,232.32,217,ADI
2025-11-24 12:33:00+00:00,33,2,245,233.48,233.48,233.48,233.48,8,ADI
2025-11-24 12:38:00+00:00,33,2,245,233.48,233.48,233.48,233.48,5,ADI
2025-11-24 12:56:00+00:00,33,2,245,233.48,233.48,233.48,233.48,18,ADI
2025-11-24 13:07:00+00:00,33,2,245,233.49,233.6,233.49,233.6,43,ADI
2025-11-24 13:21:00+00:00,33,2,245,233.79,233.79,233.79,233.79,41,ADI
2025-11-24 13:23:00+00:00,33,2,245,233.79,233.79,233.79,233.79,5,ADI
2025-11-24 13:29:00+00:00,33,2,245,233.8,233.8,233.78,233.78,36,ADI
2025-11-24 13:32:00+00:00,33,2,245,233.8,233.8,233.8,233.8,21,ADI
2025-11-24 13:55:00+00:00,33,2,245,233.58,233.58,233.58,233.58,9,ADI
2025-11-24 14:13:00+00:00,33,2,245,233.62,233.62,233.62,233.62,10,ADI
2025-11-24 14:25:00+00:00,33,2,245,233.8,233.8,233.8,233.8,6,ADI
2025-11-24 14:30:00+00:00,33,2,245,233.85,235.11,233.35,233.59,28421,ADI
2025-11-24 14:31:00+00:00,33,2,245,233.85,235.21,233.85,234.705,2179,ADI
2025-11-24 14:32:00+00:00,33,2,245,234.7,234.79,234.0,234.0,3044,ADI
2025-11-24 14:33:00+00:00,33,2,245,233.98,234.9,233.98,234.12,1192,ADI
2025-11-24 14:34:00+00:00,33,2,245,234.405,235.01,234.36,234.7,2418,ADI
2025-11-24 14:35:00+00:00,33,2,245,234.44,234.77,234.4,234.77,796,ADI
2025-11-24 14:36:00+00:00,33,2,245,234.9,234.9,233.8,233.94,1507,ADI
2025-11-24 14:37:00+00:00,33,2,245,233.94,234.14,233.46,233.52,2541,ADI
2025-11-24 14:38:00+00:00,33,2,245,233.32,233.82,233.17,233.715,2834,ADI
2025-11-24 14:39:00+00:00,33,2,245,233.64,233.8,233.16,233.8,3412,ADI
2025-11-24 14:40:00+00:00,33,2,245,233.81,234.21,233.81,233.9,1953,ADI
2025-11-24 14:41:00+00:00,33,2,245,234.0,234.1,233.74,233.82,1512,ADI
2025-11-24 14:42:00+00:00,33,2,245,233.92,234.37,233.92,234.21,2558,ADI
